gen,max fit,avg fit,med fit
0,0.54522485,0.22626394,0.21873462200164795
1,0.7930869,0.19343504,0.16668758541345596
2,0.89365166,0.12469618,0.09815408289432526
3,1.2241001,0.25727767,0.16254432499408722
4,1.3586692,0.22378021,0.16242659091949463
5,1.4246211,0.22353996,0.20024417340755463
6,1.1680367,0.14778991,0.0733938179910183
7,1.2854083,0.2599916,0.23746784776449203
8,0.7316663,0.4584829,0.47024981677532196
9,1.2490608,0.4076974,0.4238346219062805
10,1.0400261,0.5149942,0.6019088327884674
11,1.1077154,0.35744983,0.3638698011636734
12,1.3932884,0.36291152,0.3744482398033142
13,0.9269064,0.47895312,0.4738079607486725
14,1.355708,0.30200872,0.2356884554028511
15,2.4951322,0.3011208,0.3691418021917343
16,2.8179977,0.38122106,0.4027601182460785
17,2.664391,0.17346506,0.09804802387952805
18,2.3401828,0.43823484,0.4418814331293106
19,2.4837198,0.32022282,0.21555837988853455
20,2.1564214,0.38173673,0.35928675532341003
21,3.0677757,0.3971476,0.34679606556892395
22,1.1595544,0.41851914,0.46037599444389343
23,3.2763247,0.48043376,0.5271320939064026
24,1.5636692,0.5536335,0.5448031425476074
25,2.0187473,0.47663134,0.43749240040779114
26,1.8734101,0.39111325,0.4056418538093567
27,1.8956523,0.5010425,0.47677990794181824
28,2.2918954,0.45418292,0.4444308578968048
29,1.5513217,0.2188182,0.176518976688385
30,1.9390332,0.39970982,0.3528784066438675
31,2.4540174,0.5559842,0.6057241857051849
32,2.268461,0.51949143,0.6156886219978333
