Max Fitness,Generation Number
0.0,0
1.4972101,1
3.4443507,2
3.720398,3
0.94765425,4
3.9493518,5
3.0409837,6
1.1343818,7
0.87071353,8
0.50094473,9
0.43811873,10
0.95638794,11
1.1050502,12
1.2557244,13
1.7335317,14
0.75641763,15
3.034133,16
2.7476017,17
2.037259,18
0.96272045,19
1.3332045,20
3.0636013,21
10.976976,22
1.5798163,23
1.4031582,24
1.1086255,25
10.929678,26
3.220882,27
2.8394444,28
2.356123,29
2.2949595,30
2.0940678,31
1.7705247,32
1.4763713,33
2.4275486,34
0.99191934,35
0.82183254,36
7.171007,37
