Max Fitness,Average Fitness,Generation Number
1.2779841,0.17235683,0
1.7317878,0.27952188,1
0.6270271,0.4735572,2
2.3641858,0.6272298,3
0.46155095,0.5365671,4
0.9605948,0.75776404,5
2.0974777,0.18311621,6
2.7734268,0.4257898,7
3.0540848,0.32904515,8
3.1265066,0.3463463,9
2.1366405,0.46355277,10
2.9503024,0.19427784,11
4.636436,0.46713322,12
4.3810687,0.30649674,13
5.02221,0.4841577,14
2.900696,0.57819957,15
5.533345,0.44669038,16
4.651088,0.59766644,17
6.278721,0.5633923,18
4.550108,0.3984905,19
4.378461,0.4247909,20
5.260805,0.49161258,21
3.3412282,0.48258916,22
4.3655057,0.49226883,23
5.4264073,0.7502246,24
4.220805,0.550099,25
5.158505,0.57307005,26
5.1558647,0.3601295,27
4.335893,0.5629042,28
5.5805473,0.53400934,29
6.062029,0.49046698,30
4.334371,0.60604054,31
4.075432,0.3483471,32
5.201479,0.49492833,33
5.029191,0.7395248,34
3.7095065,0.61405176,35
5.4732833,0.5088656,36
3.7119071,0.5278662,37
5.8605866,0.47543317,38
4.6369834,0.36131832,39
